legacy_location,asset_number,basis
BEECHWOOD PLANT UNIT 3,0633,owner 2026-09-09; agrees with the dominant legacy asset number at 82%
BOURQUE ROAD,6532,owner 2026-09-09; agrees with the dominant legacy asset number at 87%
COURTENAY BAY PLANT,0750,owner 2026-09-09; agrees with the dominant legacy asset number at 82%
EEL RIVER TERM 230,4403,owner 2026-09-09; confirmed after review, 838 of its 981 rows carry 4403 and 66 of 73 equipment strings match it
FLAKEBOARD,5207,owner 2026-09-09; agrees with the dominant legacy asset number at 83%
FRASER INC. EDMUNDSTON,5301,owner 2026-09-09; agrees with the dominant legacy asset number at 89%
GLENCORE MINING AND SMELTING,5414,owner 2026-09-09; the legacy rows split, this was the plurality at 42%
GRAND FALLS SOUTH,6395,owner 2026-09-09; agrees with the dominant legacy asset number at 82%
KESWICK RIDGE,6139,owner 2026-09-09; agrees with the dominant legacy asset number at 83%
MOBILE 15MVA,6160,owner 2026-09-09; the legacy rows split evenly, this was one of two
NEGUAC,6100,owner 2026-09-09; the legacy rows split evenly, this was one of two
NEPISIQUIT FALLS PLANT,4497,owner 2026-09-09; the legacy rows split, this was the plurality at 34%
ST. LEONARD,6335,owner 2026-09-09; agrees with the dominant legacy asset number at 80%
